year,state_name,dem_unified,rep_unified
2000,Alabama,1,0
2001,Alabama,1,0
2002,Alabama,1,0
2003,Alabama,0,0
2004,Alabama,0,0
2005,Alabama,0,0
2006,Alabama,0,0
2007,Alabama,0,0
2008,Alabama,0,0
2009,Alabama,0,0
2010,Alabama,0,0
2011,Alabama,0,1
2012,Alabama,0,1
2013,Alabama,0,1
2014,Alabama,0,1
2015,Alabama,0,1
2016,Alabama,0,1
2000,Alaska,0,0
2001,Alaska,0,0
2002,Alaska,0,0
2003,Alaska,0,1
2004,Alaska,0,1
2005,Alaska,0,1
2006,Alaska,0,1
2007,Alaska,0,1
2008,Alaska,0,1
2009,Alaska,0,0
2010,Alaska,0,0
2011,Alaska,0,0
2012,Alaska,0,0
2013,Alaska,0,1
2014,Alaska,0,1
2015,Alaska,0,0
2016,Alaska,0,0
2000,Arizona,0,1
2001,Arizona,0,0
2002,Arizona,0,0
2003,Arizona,0,0
2004,Arizona,0,0
2005,Arizona,0,0
2006,Arizona,0,0
2007,Arizona,0,0
2008,Arizona,0,0
2009,Arizona,0,1
2010,Arizona,0,1
2011,Arizona,0,1
2012,Arizona,0,1
2013,Arizona,0,1
2014,Arizona,0,1
2015,Arizona,0,1
2016,Arizona,0,1
2000,Arkansas,0,0
2001,Arkansas,0,0
2002,Arkansas,0,0
2003,Arkansas,0,0
2004,Arkansas,0,0
2005,Arkansas,0,0
2006,Arkansas,0,0
2007,Arkansas,1,0
2008,Arkansas,1,0
2009,Arkansas,1,0
2010,Arkansas,1,0
2011,Arkansas,1,0
2012,Arkansas,1,0
2013,Arkansas,0,0
2014,Arkansas,0,0
2015,Arkansas,0,1
2016,Arkansas,0,1
2000,California,1,0
2001,California,1,0
2002,California,1,0
2003,California,1,0
2004,California,0,0
2005,California,0,0
2006,California,0,0
2007,California,0,0
2008,California,0,0
2009,California,0,0
2010,California,0,0
2011,California,1,0
2012,California,1,0
2013,California,1,0
2014,California,1,0
2015,California,1,0
2016,California,1,0
2000,Colorado,0,1
2001,Colorado,0,0
2002,Colorado,0,0
2003,Colorado,0,1
2004,Colorado,0,1
2005,Colorado,0,0
2006,Colorado,0,0
2007,Colorado,1,0
2008,Colorado,1,0
2009,Colorado,1,0
2010,Colorado,1,0
2011,Colorado,0,0
2012,Colorado,0,0
2013,Colorado,1,0
2014,Colorado,1,0
2015,Colorado,0,0
2016,Colorado,0,0
2000,Connecticut,0,0
2001,Connecticut,0,0
2002,Connecticut,0,0
2003,Connecticut,0,0
2004,Connecticut,0,0
2005,Connecticut,0,0
2006,Connecticut,0,0
2007,Connecticut,0,0
2008,Connecticut,0,0
2009,Connecticut,0,0
2010,Connecticut,0,0
2011,Connecticut,1,0
2012,Connecticut,1,0
2013,Connecticut,1,0
2014,Connecticut,1,0
2015,Connecticut,1,0
2016,Connecticut,1,0
2000,Delaware,0,0
2001,Delaware,0,0
2002,Delaware,0,0
2003,Delaware,0,0
2004,Delaware,0,0
2005,Delaware,0,0
2006,Delaware,0,0
2007,Delaware,0,0
2008,Delaware,0,0
2009,Delaware,1,0
2010,Delaware,1,0
2011,Delaware,1,0
2012,Delaware,1,0
2013,Delaware,1,0
2014,Delaware,1,0
2015,Delaware,1,0
2016,Delaware,1,0
2000,Florida,0,1
2001,Florida,0,1
2002,Florida,0,1
2003,Florida,0,1
2004,Florida,0,1
2005,Florida,0,1
2006,Florida,0,1
2007,Florida,0,1
2008,Florida,0,1
2009,Florida,0,1
2010,Florida,0,1
2011,Florida,0,1
2012,Florida,0,1
2013,Florida,0,1
2014,Florida,0,1
2015,Florida,0,1
2016,Florida,0,1
2000,Georgia,1,0
2001,Georgia,1,0
2002,Georgia,1,0
2003,Georgia,0,0
2004,Georgia,0,0
2005,Georgia,0,1
2006,Georgia,0,1
2007,Georgia,0,1
2008,Georgia,0,1
2009,Georgia,0,1
2010,Georgia,0,1
2011,Georgia,0,1
2012,Georgia,0,1
2013,Georgia,0,1
2014,Georgia,0,1
2015,Georgia,0,1
2016,Georgia,0,1
2000,Hawaii,1,0
2001,Hawaii,1,0
2002,Hawaii,1,0
2003,Hawaii,0,0
2004,Hawaii,0,0
2005,Hawaii,0,0
2006,Hawaii,0,0
2007,Hawaii,0,0
2008,Hawaii,0,0
2009,Hawaii,0,0
2010,Hawaii,0,0
2011,Hawaii,1,0
2012,Hawaii,1,0
2013,Hawaii,1,0
2014,Hawaii,1,0
2015,Hawaii,1,0
2016,Hawaii,1,0
2000,Idaho,0,1
2001,Idaho,0,1
2002,Idaho,0,1
2003,Idaho,0,1
2004,Idaho,0,1
2005,Idaho,0,1
2006,Idaho,0,1
2007,Idaho,0,1
2008,Idaho,0,1
2009,Idaho,0,1
2010,Idaho,0,1
2011,Idaho,0,1
2012,Idaho,0,1
2013,Idaho,0,1
2014,Idaho,0,1
2015,Idaho,0,1
2016,Idaho,0,1
2000,Illinois,0,0
2001,Illinois,0,0
2002,Illinois,0,0
2003,Illinois,1,0
2004,Illinois,1,0
2005,Illinois,1,0
2006,Illinois,1,0
2007,Illinois,1,0
2008,Illinois,1,0
2009,Illinois,1,0
2010,Illinois,1,0
2011,Illinois,1,0
2012,Illinois,1,0
2013,Illinois,1,0
2014,Illinois,1,0
2015,Illinois,0,0
2016,Illinois,0,0
2000,Indiana,0,0
2001,Indiana,0,0
2002,Indiana,0,0
